 1|  (强度)不合格|  (整体稳定)不合格|  不合格
 2|  (强度)不合格|  (整体稳定)不合格|  不合格
 3|  (强度)不合格|  (整体稳定)不合格|  不合格
 4|  (强度)不合格|  (整体稳定)不合格|  不合格
 5|  (强度)不合格|  (整体稳定)不合格|  不合格
 6|  (强度)不合格|  (整体稳定)不合格|  不合格
 7|  (强度)不合格|  (整体稳定)不合格|  不合格
 8|  (强度)不合格|  (整体稳定)不合格|  不合格
 9|  (强度)不合格|  (整体稳定)不合格|  不合格
10|  (强度)不合格|  (整体稳定)不合格|  不合格
11|  (强度)不合格|  (整体稳定)不合格|  不合格
12|  (强度)不合格|  (整体稳定)不合格|  不合格
13|  (强度)不合格|  (整体稳定)不合格|  不合格
14|  (强度)不合格|  (整体稳定)不合格|  不合格
15|  (强度)不合格|  (整体稳定)不合格|  不合格
16|  (强度)不合格|  (整体稳定)不合格|  不合格
17|  (强度)不合格|  (整体稳定)不合格|  不合格
18|  (强度)不合格|  (整体稳定)不合格|  不合格
19|  (强度)不合格|  (整体稳定)不合格|  不合格
20|  (强度)不合格|  (整体稳定)不合格|  不合格
21|  (强度)不合格|  (整体稳定)不合格|  不合格
22|  (强度)不合格|  (整体稳定)不合格|  不合格
23|  (强度)不合格|  (整体稳定)不合格|  不合格
24|  (强度)不合格|  (整体稳定)不合格|  不合格
25|  (强度)不合格|  (整体稳定)不合格|  不合格
26|  (强度)不合格|  (整体稳定)不合格|  不合格
27|  (强度)不合格|  (整体稳定)不合格|  不合格
28|  (强度)不合格|  (整体稳定)不合格|  不合格
29|  (强度)不合格|  (整体稳定)不合格|  不合格
30|  (强度)不合格|  (整体稳定)不合格|  不合格
